Video,Frame,Label,Probability
blurrrysnatching2.mp4,1,SNATCH,1.0
blurrrysnatching2.mp4,2,SNATCH,1.0
blurrrysnatching2.mp4,3,SNATCH,1.0
blurrrysnatching2.mp4,4,SNATCH,1.0
blurrrysnatching2.mp4,5,SNATCH,1.0
blurrrysnatching2.mp4,6,SNATCH,1.0
blurrrysnatching2.mp4,7,SNATCH,1.0
blurrrysnatching2.mp4,8,SNATCH,1.0
blurrrysnatching2.mp4,9,SNATCH,1.0
blurrrysnatching2.mp4,10,SNATCH,1.0
blurrrysnatching2.mp4,11,SNATCH,1.0
blurrrysnatching2.mp4,12,SNATCH,1.0
blurrrysnatching2.mp4,13,SNATCH,1.0
blurrrysnatching2.mp4,14,SNATCH,1.0
blurrrysnatching2.mp4,15,SNATCH,1.0
blurrrysnatching2.mp4,16,SNATCH,1.0
blurrrysnatching2.mp4,17,SNATCH,1.0
blurrrysnatching2.mp4,18,SNATCH,1.0
blurrrysnatching2.mp4,19,SNATCH,1.0
blurrrysnatching2.mp4,20,SNATCH,1.0
blurrrysnatching2.mp4,21,SNATCH,1.0
blurrrysnatching2.mp4,22,SNATCH,1.0
blurrrysnatching2.mp4,23,SNATCH,1.0
blurrrysnatching2.mp4,24,SNATCH,1.0
blurrrysnatching2.mp4,25,SNATCH,1.0
blurrrysnatching2.mp4,26,SNATCH,1.0
blurrrysnatching2.mp4,27,SNATCH,1.0
blurrrysnatching2.mp4,28,SNATCH,1.0
blurrrysnatching2.mp4,29,SNATCH,1.0
blurrrysnatching2.mp4,30,SNATCH,1.0
blurrrysnatching2.mp4,31,SNATCH,1.0
blurrrysnatching2.mp4,32,SNATCH,1.0
blurrrysnatching2.mp4,33,SNATCH,1.0
blurrrysnatching2.mp4,34,SNATCH,1.0
blurrrysnatching2.mp4,35,SNATCH,1.0
blurrrysnatching2.mp4,36,SNATCH,1.0
blurrrysnatching2.mp4,37,SNATCH,1.0
blurrrysnatching2.mp4,38,SNATCH,1.0
blurrrysnatching2.mp4,39,SNATCH,1.0
blurrrysnatching2.mp4,40,SNATCH,1.0
blurrrysnatching2.mp4,41,SNATCH,1.0
blurrrysnatching2.mp4,42,SNATCH,1.0
blurrrysnatching2.mp4,43,SNATCH,1.0
blurrrysnatching2.mp4,44,SNATCH,1.0
blurrrysnatching2.mp4,45,SNATCH,1.0
blurrrysnatching2.mp4,46,SNATCH,1.0
blurrrysnatching2.mp4,47,SNATCH,1.0
blurrrysnatching2.mp4,48,SNATCH,1.0
blurrrysnatching2.mp4,49,SNATCH,1.0
blurrrysnatching2.mp4,50,SNATCH,1.0
blurrrysnatching2.mp4,51,SNATCH,1.0
blurrrysnatching2.mp4,52,SNATCH,1.0
blurrrysnatching2.mp4,53,SNATCH,1.0
blurrrysnatching2.mp4,54,SNATCH,1.0
blurrrysnatching2.mp4,55,SNATCH,1.0
blurrrysnatching2.mp4,56,SNATCH,1.0
blurrrysnatching2.mp4,57,SNATCH,1.0
blurrrysnatching2.mp4,58,SNATCH,1.0
blurrrysnatching2.mp4,59,SNATCH,1.0
blurrrysnatching2.mp4,60,SNATCH,1.0
blurrrysnatching2.mp4,61,SNATCH,1.0
blurrrysnatching2.mp4,62,SNATCH,1.0
blurrrysnatching2.mp4,63,SNATCH,1.0
blurrrysnatching2.mp4,64,SNATCH,1.0
blurrrysnatching2.mp4,65,SNATCH,1.0
blurrrysnatching2.mp4,66,SNATCH,1.0
blurrrysnatching2.mp4,67,SNATCH,1.0
blurrrysnatching2.mp4,68,SNATCH,1.0
blurrrysnatching2.mp4,69,SNATCH,1.0
blurrrysnatching2.mp4,70,SNATCH,1.0
blurrrysnatching2.mp4,71,SNATCH,1.0
blurrrysnatching2.mp4,72,SNATCH,1.0
blurrrysnatching2.mp4,73,SNATCH,1.0
blurrrysnatching2.mp4,74,SNATCH,1.0
blurrrysnatching2.mp4,75,SNATCH,1.0
blurrrysnatching2.mp4,76,SNATCH,1.0
blurrrysnatching2.mp4,77,SNATCH,1.0
blurrrysnatching2.mp4,78,SNATCH,1.0
blurrrysnatching2.mp4,79,SNATCH,1.0
blurrrysnatching2.mp4,80,SNATCH,1.0
blurrrysnatching2.mp4,81,SNATCH,1.0
blurrrysnatching2.mp4,82,SNATCH,1.0
blurrrysnatching2.mp4,83,SNATCH,1.0
blurrrysnatching2.mp4,84,SNATCH,1.0
blurrrysnatching2.mp4,85,SNATCH,1.0
blurrrysnatching2.mp4,86,SNATCH,1.0
blurrrysnatching2.mp4,87,SNATCH,1.0
blurrrysnatching2.mp4,88,SNATCH,1.0
blurrrysnatching2.mp4,89,SNATCH,1.0
